title,calorie,cook_time,servings,ratings,fat_g,protein_g,carb_g,fat_ratio,protein_ratio,carb_ratio,link
Cogys World Famous Matzo Balls,297.0,120,4.0,4.52,18.9,9.5,21.9,0.57,0.13,0.30000000000000004,https://www.allrecipes.com/recipe/142910/cogys-world-famous-matzo-balls/
Prosciutto Parmesan Pasta,1029.0,30,4.0,4.32,74.9,38.6,52.3,0.66,0.15,0.18999999999999997,https://www.allrecipes.com/recipe/142957/prosciutto-parmesan-pasta/
Shrimp Gazpacho,322.0,20,12.0,4.58,11.2,27.1,29.1,0.31,0.34,0.3499999999999999,https://www.allrecipes.com/recipe/142970/shrimp-gazpacho/
Sweet And Spicy Turkey Sandwich,434.0,15,1.0,4.7,16.3,25.5,47.1,0.34,0.24,0.41999999999999993,https://www.allrecipes.com/recipe/143052/sweet-and-spicy-turkey-sandwich/
Super Delicious Zuppa Toscana,554.0,85,6.0,4.82,32.6,19.8,45.8,0.53,0.14,0.32999999999999996,https://www.allrecipes.com/recipe/143069/super-delicious-zuppa-toscana/
Garbanzo Bean Salad,277.0,10,4.0,4.49,16.7,5.6,29.1,0.54,0.08,0.37999999999999995,https://www.allrecipes.com/recipe/14311/garbanzo-bean-salad/
Yoyos Bbq Beans,420.0,60,6.0,4.64,11.2,20.5,60.8,0.24,0.2,0.56,https://www.allrecipes.com/recipe/143135/yoyos-bbq-beans/
Festival Style Grilled Italian Sausage Sandwiches,631.0,30,4.0,4.75,33.7,27.0,56.2,0.48,0.17,0.35,https://www.allrecipes.com/recipe/143146/festival-style-grilled-italian-sausage-sandwiches/
Okra With Tomatoes,66.0,30,6.0,4.5,1.1,2.8,13.1,0.15,0.17,0.6799999999999999,https://www.allrecipes.com/recipe/143249/okra-with-tomatoes/
Moms Dill Potato Salad,245.0,150,12.0,4.56,17.8,3.0,19.9,0.65,0.05,0.3,https://www.allrecipes.com/recipe/143258/moms-dill-potato-salad/
Danas Taco Salad,584.0,75,4.0,4.58,31.1,25.7,55.6,0.48,0.18,0.34,https://www.allrecipes.com/recipe/143263/danas-taco-salad/
Sweet Potato White Potato Salad,154.0,97,6.0,4.38,1.4,3.4,32.9,0.08,0.09,0.8300000000000001,https://www.allrecipes.com/recipe/143297/sweet-potato-white-potato-salad/
Easy Tomato Basil Pizza,519.0,40,8.0,4.69,20.4,30.0,56.8,0.35,0.23,0.42000000000000004,https://www.allrecipes.com/recipe/143339/easy-tomato-basil-pizza/
Slimmed Down Potato Salad,240.0,45,8.0,4.54,8.1,9.6,34.0,0.3,0.16,0.5399999999999999,https://www.allrecipes.com/recipe/143369/slimmed-down-potato-salad/
Barbeque Potato Salad,398.0,165,12.0,4.47,24.5,7.3,38.6,0.55,0.07,0.37999999999999995,https://www.allrecipes.com/recipe/143446/barbeque-potato-salad/
Macaroni Salad With A Twist,582.0,268,8.0,4.51,29.2,17.7,64.1,0.45,0.12,0.43000000000000005,https://www.allrecipes.com/recipe/143471/macaroni-salad-with-a-twist/
Tropical Mango And Pineapple Paradise Salsa,38.0,25,8.0,4.35,0.1,0.5,9.8,0.02,0.05,0.9299999999999999,https://www.allrecipes.com/recipe/143507/tropical-mango-and-pineapple-paradise-salsa/
Easy Speedy Corn Muffins,199.0,26,12.0,4.6,4.8,4.9,35.0,0.22,0.1,0.68,https://www.allrecipes.com/recipe/143596/easy-speedy-corn-muffins/
Asian Coleslaw Light,135.0,135,6.0,4.42,9.2,1.5,11.8,0.61,0.04,0.35000000000000003,https://www.allrecipes.com/recipe/143597/asian-coleslaw-light/
Colombian Stewed Flank,236.0,155,4.0,4.35,15.6,15.4,9.2,0.59,0.26,0.15000000000000002,https://www.allrecipes.com/recipe/143611/colombian-stewed-flank/
Curtido El Salvadoran Cabbage Salad,50.0,45,4.0,4.39,0.3,2.3,11.3,0.05,0.18,0.77,https://www.allrecipes.com/recipe/143619/curtido-el-salvadoran-cabbage-salad/
Killer Bacon Cheese Dogs,492.0,30,8.0,4.46,30.5,21.6,31.7,0.56,0.18,0.25999999999999995,https://www.allrecipes.com/recipe/143850/killer-bacon-cheese-dogs/
Red Bliss Potato Salad With Gorgonzola And Walnuts,364.0,105,6.0,4.32,19.9,8.5,40.1,0.49,0.09,0.42000000000000004,https://www.allrecipes.com/recipe/144149/red-bliss-potato-salad-with-gorgonzola-and-walnuts/
Brazilian White Rice,201.0,45,8.0,4.41,3.7,3.4,37.5,0.17,0.07,0.76,https://www.allrecipes.com/recipe/144308/brazilian-white-rice/
The Earls Sandwich,535.0,5,1.0,4.43,28.8,30.8,38.7,0.48,0.23,0.29000000000000004,https://www.allrecipes.com/recipe/144944/the-earls-sandwich/
Fresh Dill Pasta Salad,241.0,140,12.0,4.48,16.4,7.5,16.8,0.61,0.12,0.27,https://www.allrecipes.com/recipe/144948/fresh-dill-pasta-salad/
Cilantro Avocado Tomato And Feta Salad,195.0,25,10.0,4.74,14.5,6.0,15.5,0.67,0.12,0.20999999999999996,https://www.allrecipes.com/recipe/145920/cilantro-avocado-tomato-and-feta-salad/
Herbed Rice And Spicy Black Bean Salad,185.0,55,8.0,4.32,8.8,4.5,22.1,0.43,0.1,0.4700000000000001,https://www.allrecipes.com/recipe/146065/herbed-rice-and-spicy-black-bean-salad/
Sliced Tomatoes With Fresh Herb Dressing,95.0,70,8.0,4.59,7.9,2.3,4.8,0.75,0.1,0.15,https://www.allrecipes.com/recipe/146074/sliced-tomatoes-with-fresh-herb-dressing/
Savory Halibut Enchiladas,605.0,132,8.0,4.67,32.8,38.2,40.3,0.49,0.25,0.26,https://www.allrecipes.com/recipe/146092/savory-halibut-enchiladas/
Slow Cooker German Style Pork Roast With Sauerkraut And Potatoes,385.0,500,8.0,4.41,15.2,31.3,30.5,0.36,0.33,0.31,https://www.allrecipes.com/recipe/146229/slow-cooker-german-style-pork-roast-with-sauerkraut-and-potatoes/
The Worlds Greatest Crab Recipe,957.0,16,4.0,4.73,72.7,68.9,5.8,0.68,0.29,0.02999999999999997,https://www.allrecipes.com/recipe/146626/the-worlds-greatest-crab-recipe/
Cape Cod Turkey Salad,521.0,85,6.0,4.55,43.0,23.1,12.3,0.74,0.18,0.08000000000000002,https://www.allrecipes.com/recipe/146728/cape-cod-turkey-salad/
Hot Banana Salsa,14.0,30,24.0,4.72,0.4,0.2,2.6,0.26,0.06,0.6799999999999999,https://www.allrecipes.com/recipe/146767/hot-banana-salsa/
Sugar Toasted Almond Spinach Salad,262.0,33,12.0,4.71,17.4,10.9,17.9,0.6,0.17,0.23,https://www.allrecipes.com/recipe/146992/sugar-toasted-almond-spinach-salad/
Marinated Green Beans With Olives Tomatoes And Feta,183.0,220,10.0,4.59,14.0,5.5,10.6,0.69,0.12,0.19000000000000006,https://www.allrecipes.com/recipe/147050/marinated-green-beans-with-olives-tomatoes-and-feta/
Grilled Italian Sausage With Marinated Tomatoes,447.0,35,6.0,4.72,26.4,19.6,32.2,0.53,0.18,0.29,https://www.allrecipes.com/recipe/147076/grilled-italian-sausage-with-marinated-tomatoes/
Roasted Vegetable Stock,132.0,185,8.0,4.7,9.3,1.7,11.9,0.63,0.05,0.32,https://www.allrecipes.com/recipe/147142/roasted-vegetable-stock/
Oven Spamr Sandwiches,443.0,25,8.0,4.39,28.4,17.0,29.5,0.58,0.15,0.27,https://www.allrecipes.com/recipe/147337/oven-spamr-sandwiches/
Spinach Basil Pasta Salad,372.0,30,10.0,4.68,20.7,13.6,36.4,0.5,0.15,0.35,https://www.allrecipes.com/recipe/147565/spinach-basil-pasta-salad/
Aw Some Coleslaw,108.0,495,12.0,4.69,7.4,1.1,10.3,0.62,0.04,0.34,https://www.allrecipes.com/recipe/147670/aw-some-coleslaw/
Vegan Friendly Falafel,245.0,62,10.0,4.55,8.7,9.6,33.8,0.32,0.16,0.5199999999999999,https://www.allrecipes.com/recipe/148509/vegan-friendly-falafel/
My Moms Good Old Potato Salad,788.0,145,8.0,4.52,50.5,14.8,71.5,0.58,0.08,0.34,https://www.allrecipes.com/recipe/148515/my-moms-good-old-potato-salad/
Thai Curry Soup,247.0,50,4.0,4.53,13.1,8.2,23.8,0.48,0.13,0.39,https://www.allrecipes.com/recipe/148802/thai-curry-soup/
Spiced Slow Cooker Applesauce,150.0,400,8.0,4.6,0.2,0.4,39.4,0.01,0.01,0.98,https://www.allrecipes.com/recipe/149218/spiced-slow-cooker-applesauce/
Easiest Mac N Cheese Ever,136.0,20,6.0,4.34,5.2,6.2,15.9,0.34,0.18,0.4799999999999999,https://www.allrecipes.com/recipe/149239/easiest-mac-n-cheese-ever/
Tomato And Bread Soup,172.0,75,8.0,4.63,11.5,3.3,13.4,0.6,0.08,0.32,https://www.allrecipes.com/recipe/149302/tomato-and-bread-soup/
Slow And Easy Beef Stock,0.0,60,4.0,4.94,0.0,0.0,0.0,,,,https://www.allrecipes.com/recipe/149356/slow-and-easy-beef-stock/
Fresh Mint And Cilantro Melon Salad,27.0,135,10.0,4.38,0.1,0.4,6.7,0.03,0.06,0.9099999999999999,https://www.allrecipes.com/recipe/149448/fresh-mint-and-cilantro-melon-salad/
Kyles Favorite Beef Stew,617.0,465,10.0,4.62,34.3,30.7,46.6,0.5,0.2,0.3,https://www.allrecipes.com/recipe/149731/kyles-favorite-beef-stew/
Easy Cold Pasta Salad,297.0,150,8.0,4.59,10.6,7.2,43.9,0.32,0.1,0.58,https://www.allrecipes.com/recipe/149799/easy-cold-pasta-salad/
Swabian Meatballs Fleischkuechle,195.0,42,8.0,4.44,13.0,13.0,6.2,0.6,0.27,0.13,https://www.allrecipes.com/recipe/149954/swabian-meatballs-fleischkuechle/
Spicy Pimento Cheese Sandwiches With Avocado And Bacon,1383.0,20,2.0,4.56,118.5,44.6,39.8,0.77,0.13,0.09999999999999998,https://www.allrecipes.com/recipe/150273/spicy-pimento-cheese-sandwiches-with-avocado-and-bacon/
The Best Chicken Fried Steak,791.0,40,4.0,4.47,34.3,47.0,71.1,0.39,0.24,0.37,https://www.allrecipes.com/recipe/150306/the-best-chicken-fried-steak/
Roasted Garlic Flat Iron Steak,710.0,35,4.0,4.4,56.5,47.3,3.7,0.72,0.27,0.010000000000000009,https://www.allrecipes.com/recipe/150353/roasted-garlic-flat-iron-steak/
Wedge Salad With Elegant Blue Cheese Dressing,362.0,1,8.0,4.59,30.6,13.7,9.1,0.76,0.15,0.09,https://www.allrecipes.com/recipe/150738/wedge-salad-with-elegant-blue-cheese-dressing/
Jennys Sweet Waldorf Salad,451.0,20,8.0,4.67,20.3,4.6,67.5,0.41,0.04,0.55,https://www.allrecipes.com/recipe/151249/jennys-sweet-waldorf-salad/
Slow Cooker Barbequed Pork For Sandwiches,224.0,430,12.0,4.64,9.2,10.6,22.3,0.37,0.19,0.44,https://www.allrecipes.com/recipe/151379/slow-cooker-barbequed-pork-for-sandwiches/
Tarte A Loignon French Onion Pie,344.0,80,10.0,4.8,25.4,8.9,20.7,0.66,0.1,0.23999999999999996,https://www.allrecipes.com/recipe/151905/tarte-a-loignon-french-onion-pie/
Spicy Sweet Potato And Coconut Soup,306.0,65,6.0,4.6,20.0,4.1,30.6,0.59,0.05,0.36000000000000004,https://www.allrecipes.com/recipe/151940/spicy-sweet-potato-and-coconut-soup/
Smoked Salmon Chowder,1144.0,80,6.0,4.71,63.3,48.4,93.1,0.5,0.17,0.32999999999999996,https://www.allrecipes.com/recipe/151944/smoked-salmon-chowder/
Tostones,88.0,22,8.0,4.81,0.9,0.9,21.5,0.09,0.04,0.87,https://www.allrecipes.com/recipe/152048/tostones/
Superior Shores Slaw,426.0,20,6.0,4.5,36.3,6.0,20.1,0.77,0.06,0.16999999999999998,https://www.allrecipes.com/recipe/152171/superior-shores-slaw/
Strawberry Summer Salad,269.0,20,8.0,4.72,22.7,2.8,16.2,0.76,0.04,0.19999999999999998,https://www.allrecipes.com/recipe/152178/strawberry-summer-salad/
Spaghetti Squash With Pine Nuts Sage And Romano,150.0,60,4.0,4.35,9.4,5.6,13.7,0.56,0.15,0.2899999999999999,https://www.allrecipes.com/recipe/152211/spaghetti-squash-with-pine-nuts-sage-and-romano/
Turkey Sandwiches With Cranberry Sauce,1068.0,17,4.0,4.42,65.8,49.5,70.1,0.55,0.19,0.25999999999999995,https://www.allrecipes.com/recipe/152661/turkey-sandwiches-with-cranberry-sauce/
Moms Easy Creamed Chipped Beef On Toast,402.0,20,8.0,4.4,17.6,18.8,42.0,0.39,0.19,0.42,https://www.allrecipes.com/recipe/152669/moms-easy-creamed-chipped-beef-on-toast/
Hodies Sloppy Joes,280.0,35,6.0,4.41,20.2,13.5,11.1,0.65,0.19,0.15999999999999998,https://www.allrecipes.com/recipe/152710/hodies-sloppy-joes/
Venison Gyros,432.0,165,6.0,4.74,10.2,48.4,33.7,0.21,0.45,0.34,https://www.allrecipes.com/recipe/153436/venison-gyros/
No Cook Poor Mans Caviar,157.0,1,14.0,4.5,6.0,5.5,21.9,0.34,0.14,0.5199999999999999,https://www.allrecipes.com/recipe/153472/no-cook-poor-mans-caviar/
School Lunch Bagel Sandwich,474.0,15,1.0,4.7,16.0,20.0,66.8,0.3,0.17,0.5299999999999999,https://www.allrecipes.com/recipe/153642/school-lunch-bagel-sandwich/
Brussels Sprouts And Barley Soup,146.0,95,12.0,4.52,5.6,8.4,16.6,0.35,0.23,0.42000000000000004,https://www.allrecipes.com/recipe/153672/brussels-sprouts-and-barley-soup/
Colorado Buffalo Chili,219.0,520,6.0,4.66,2.8,22.3,29.8,0.12,0.41,0.47000000000000003,https://www.allrecipes.com/recipe/154121/colorado-buffalo-chili/
Pasta Deli Salad,361.0,165,12.0,4.44,18.1,15.7,33.4,0.45,0.17,0.38,https://www.allrecipes.com/recipe/154351/pasta-deli-salad/
Sweet Pork Slow Cooker Chili,422.0,280,10.0,4.52,20.1,21.3,39.8,0.43,0.2,0.37000000000000005,https://www.allrecipes.com/recipe/155328/sweet-pork-slow-cooker-chili/
Coconut Curry Pumpkin Soup,171.0,50,6.0,4.5,13.5,2.0,12.0,0.71,0.05,0.24000000000000005,https://www.allrecipes.com/recipe/155357/coconut-curry-pumpkin-soup/
Pear And Prosciutto Pizza,618.0,70,4.0,4.46,30.7,30.6,54.7,0.45,0.2,0.35000000000000003,https://www.allrecipes.com/recipe/155498/pear-and-prosciutto-pizza/
Flat Iron Grilled,393.0,25,4.0,4.33,26.5,35.3,3.6,0.61,0.36,0.030000000000000027,https://www.allrecipes.com/recipe/155544/flat-iron-grilled/
Fresh Guacamole,187.0,30,2.0,4.55,14.9,2.9,14.7,0.72,0.06,0.22000000000000003,https://www.allrecipes.com/recipe/155616/fresh-guacamole/
Classic Lasagna,647.0,120,10.0,4.49,41.4,38.8,31.2,0.58,0.24,0.18000000000000005,https://www.allrecipes.com/recipe/156037/classic-lasagna/
Maurice Salad,601.0,30,8.0,4.45,44.7,38.1,11.6,0.67,0.25,0.07999999999999996,https://www.allrecipes.com/recipe/15621/maurice-salad/
Raspberry Walnut Baked Brie,246.0,30,10.0,4.76,16.4,6.7,18.5,0.6,0.11,0.29000000000000004,https://www.allrecipes.com/recipe/156542/raspberry-walnut-baked-brie/
Chayote Soup,61.0,60,4.0,4.7,3.2,1.6,7.7,0.47,0.1,0.43000000000000005,https://www.allrecipes.com/recipe/156544/chayote-soup/
Shrimp Asopao,263.0,70,8.0,4.4,6.5,15.1,35.2,0.22,0.23,0.55,https://www.allrecipes.com/recipe/156549/shrimp-asopao/
Toasted Almond Green Bean Salad,192.0,25,8.0,4.31,16.6,3.3,9.8,0.78,0.07,0.14999999999999997,https://www.allrecipes.com/recipe/156962/toasted-almond-green-bean-salad/
Lunch Box Hot Hot Dogs,384.0,25,1.0,4.75,24.4,15.0,25.6,0.57,0.16,0.27,https://www.allrecipes.com/recipe/157173/lunch-box-hot-hot-dogs/
Cheddar Chipotle Bread On A Pizza Stone,298.0,145,24.0,4.8,10.7,11.4,38.1,0.32,0.15,0.5299999999999999,https://www.allrecipes.com/recipe/157365/cheddar-chipotle-bread-on-a-pizza-stone/
Summer Grilled Cabbage,76.0,40,8.0,4.54,4.2,2.1,9.3,0.5,0.11,0.39,https://www.allrecipes.com/recipe/157836/summer-grilled-cabbage/
Delicious Beef Tongue Tacos,227.0,510,20.0,4.66,14.0,11.4,14.0,0.56,0.2,0.23999999999999994,https://www.allrecipes.com/recipe/157899/delicious-beef-tongue-tacos/
Pina Colada Salad,167.0,25,15.0,4.56,2.9,2.9,36.0,0.16,0.07,0.77,https://www.allrecipes.com/recipe/158427/pina-colada-salad/
Rustic Sausage Pasta,489.0,55,6.0,4.55,19.3,24.9,54.1,0.36,0.2,0.44,https://www.allrecipes.com/recipe/158429/rustic-sausage-pasta/
Peanut Butter Bacon And Apple Sandwiches,360.0,10,1.0,4.64,18.1,12.2,41.2,0.45,0.14,0.41000000000000003,https://www.allrecipes.com/recipe/159580/peanut-butter-bacon-and-apple-sandwiches/
Across The Border Tequila Shrimp,279.0,25,4.0,4.37,13.0,28.3,3.7,0.42,0.41,0.1700000000000001,https://www.allrecipes.com/recipe/159581/across-the-border-tequila-shrimp/
Richard And Suzannes Louisiana Crawfish Pasta,1505.0,40,4.0,4.53,109.8,37.6,99.8,0.66,0.1,0.23999999999999996,https://www.allrecipes.com/recipe/159720/richard-and-suzannes-louisiana-crawfish-pasta/
Slow Cooker Machaca,563.0,725,10.0,4.51,32.5,57.3,6.9,0.52,0.41,0.07,https://www.allrecipes.com/recipe/159881/slow-cooker-machaca/
My Favorite Pork Turkey Meatloaf,310.0,100,8.0,4.62,16.5,26.0,14.8,0.48,0.34,0.18,https://www.allrecipes.com/recipe/160241/my-favorite-pork-turkey-meatloaf/
Richard And Suzannes Famous Red Beans And Sausage,689.0,95,8.0,4.59,44.6,28.5,45.0,0.58,0.17,0.25,https://www.allrecipes.com/recipe/160982/richard-and-suzannes-famous-red-beans-and-sausage/
Turkey Garbanzo Bean And Kale Soup With Pasta,374.0,40,8.0,4.5,7.7,23.2,56.8,0.19,0.25,0.56,https://www.allrecipes.com/recipe/161384/turkey-garbanzo-bean-and-kale-soup-with-pasta/
Espinacas Con Garbanzos Spinach With Garbanzo Beans,169.0,25,4.0,4.46,4.9,7.3,26.0,0.26,0.17,0.57,https://www.allrecipes.com/recipe/161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/
Grilled Mussels With Curry Butter,299.0,25,4.0,4.93,14.1,28.0,15.3,0.42,0.37,0.21000000000000008,https://www.allrecipes.com/recipe/161908/grilled-mussels-with-curry-butter/
Easy Cucumber Salad,25.0,260,4.0,4.56,0.1,0.6,6.0,0.04,0.1,0.86,https://www.allrecipes.com/recipe/162172/easy-cucumber-salad/
Sausage Pepper And Onion Sandwiches,479.0,390,25.0,4.71,21.5,20.6,50.9,0.4,0.17,0.42999999999999994,https://www.allrecipes.com/recipe/162472/sausage-pepper-and-onion-sandwiches/
Grilled Cheese Pickle And Vidalia Onion Sandwich,683.0,15,1.0,4.55,55.3,22.1,26.2,0.73,0.13,0.14,https://www.allrecipes.com/recipe/162491/grilled-cheese-pickle-and-vidalia-onion-sandwich/
Beef On Weck,315.0,20,6.0,4.45,6.8,36.2,27.6,0.19,0.46,0.35000000000000003,https://www.allrecipes.com/recipe/162533/beef-on-weck/
Nonies Best Bbq,314.0,40,12.0,4.64,11.5,17.0,35.5,0.33,0.22,0.44999999999999996,https://www.allrecipes.com/recipe/162936/nonies-best-bbq/
Leftover Dog Pile,892.0,15,1.0,4.69,66.0,38.8,40.5,0.67,0.17,0.15999999999999995,https://www.allrecipes.com/recipe/162975/leftover-dog-pile/
Simply Guacamole,82.0,25,20.0,4.72,7.4,1.1,4.7,0.81,0.05,0.13999999999999996,https://www.allrecipes.com/recipe/163625/simply-guacamole/
Super Seven Spinach Salad,138.0,15,6.0,4.86,8.3,3.8,12.5,0.54,0.11,0.35,https://www.allrecipes.com/recipe/163742/super-seven-spinach-salad/
Byrdhouse Marinated Tomatoes And Mushrooms,106.0,205,8.0,4.71,9.4,1.4,5.3,0.8,0.05,0.14999999999999997,https://www.allrecipes.com/recipe/163917/byrdhouse-marinated-tomatoes-and-mushrooms/
Spring Asparagus Salad,95.0,25,6.0,4.49,7.6,2.8,5.8,0.72,0.12,0.16000000000000003,https://www.allrecipes.com/recipe/163930/spring-asparagus-salad/
Escarole Soup,303.0,30,14.0,4.67,19.4,16.4,15.0,0.58,0.22,0.20000000000000004,https://www.allrecipes.com/recipe/164049/escarole-soup/
Pbm Sandwich,373.0,5,1.0,4.77,18.1,12.1,43.5,0.44,0.13,0.43000000000000005,https://www.allrecipes.com/recipe/164083/pbm-sandwich/
Hot Dog Roll Up,355.0,4,4.0,4.5,24.7,14.3,18.3,0.63,0.16,0.21,https://www.allrecipes.com/recipe/164992/hot-dog-roll-up/
Veggie And Cilantro Hummus Sandwiches,601.0,45,2.0,4.46,24.9,17.1,81.6,0.37,0.11,0.52,https://www.allrecipes.com/recipe/165551/veggie-and-cilantro-hummus-sandwiches/
Ham Salad Ii,278.0,15,16.0,4.44,24.0,9.9,7.3,0.78,0.14,0.07999999999999996,https://www.allrecipes.com/recipe/16567/ham-salad-ii/
Spicy Albondigas,289.0,110,10.0,4.76,13.4,23.2,17.9,0.42,0.32,0.26000000000000006,https://www.allrecipes.com/recipe/166139/spicy-albondigas/
Egg Salad Iii,349.0,25,4.0,4.31,32.6,13.0,2.2,0.84,0.15,0.010000000000000037,https://www.allrecipes.com/recipe/16632/egg-salad-iii/
Vegetarian Chickpea Sandwich Filling,259.0,20,3.0,4.43,5.8,9.3,43.5,0.2,0.14,0.66,https://www.allrecipes.com/recipe/16715/vegetarian-chickpea-sandwich-filling/
Pea Jicama And Cashew Salad,239.0,40,10.0,4.36,12.4,6.4,26.7,0.47,0.11,0.42000000000000004,https://www.allrecipes.com/recipe/167375/pea-jicama-and-cashew-salad/
Red White And Blue Burgers,372.0,25,6.0,4.68,23.9,33.7,3.3,0.58,0.36,0.06000000000000005,https://www.allrecipes.com/recipe/168192/red-white-and-blue-burgers/
Honey Bean Salad,173.0,10,6.0,4.54,5.1,7.7,25.1,0.27,0.18,0.55,https://www.allrecipes.com/recipe/168932/honey-bean-salad/
Lentil And Buckwheat Salad,271.0,90,8.0,4.4,8.9,11.2,38.6,0.3,0.17,0.5299999999999999,https://www.allrecipes.com/recipe/168984/lentil-and-buckwheat-salad/
Mayan Couscous,300.0,25,4.0,4.63,10.9,7.1,44.8,0.33,0.09,0.58,https://www.allrecipes.com/recipe/169253/mayan-couscous/
Thai Cucumber Salad,238.0,45,4.0,4.63,9.4,5.8,37.1,0.36,0.1,0.54,https://www.allrecipes.com/recipe/169593/thai-cucumber-salad/
Cream Cheese And Crab Sushi Rolls,444.0,100,2.0,4.6,8.2,10.7,79.9,0.17,0.1,0.73,https://www.allrecipes.com/recipe/169856/cream-cheese-and-crab-sushi-rolls/
Roasted Garlic Potato Soup With Smoked Salmon,336.0,80,5.0,4.56,19.9,7.7,33.7,0.53,0.09,0.38,https://www.allrecipes.com/recipe/170176/roasted-garlic-potato-soup-with-smoked-salmon/
Guacamole Salad,278.0,50,8.0,4.47,22.3,3.9,21.2,0.72,0.06,0.22000000000000003,https://www.allrecipes.com/recipe/170444/guacamole-salad/
Avocado Egg Salad,284.0,20,6.0,4.57,25.0,8.0,9.2,0.79,0.11,0.09999999999999996,https://www.allrecipes.com/recipe/170446/avocado-egg-salad/
Sweet And Spicy Tuna Salad,274.0,5,4.0,4.33,22.2,8.4,11.6,0.73,0.12,0.15000000000000002,https://www.allrecipes.com/recipe/170549/sweet-and-spicy-tuna-salad/
Blue Cheese Coleslaw,205.0,70,10.0,4.69,17.9,4.5,7.6,0.79,0.09,0.11999999999999997,https://www.allrecipes.com/recipe/171101/blue-cheese-coleslaw/
Quinoa Vegetable Salad,148.0,90,12.0,4.56,4.5,4.6,22.9,0.27,0.12,0.61,https://www.allrecipes.com/recipe/172050/quinoa-vegetable-salad/
Hummus And Prosciutto Wrap,345.0,23,4.0,4.7,23.4,20.0,24.0,0.61,0.23,0.16,https://www.allrecipes.com/recipe/172060/hummus-and-prosciutto-wrap/
Russian Carrot Salad,80.0,15,6.0,4.5,4.0,1.5,10.7,0.45,0.08,0.47000000000000003,https://www.allrecipes.com/recipe/172278/russian-carrot-salad/
Chef Scotts Pico De Gallo,51.0,90,25.0,4.4,4.5,0.6,2.8,0.79,0.05,0.15999999999999998,https://www.allrecipes.com/recipe/173060/chef-scotts-pico-de-gallo/
Zingy Pesto Tuna Wrap,834.0,15,1.0,4.33,51.2,49.9,42.3,0.55,0.24,0.20999999999999996,https://www.allrecipes.com/recipe/174051/zingy-pesto-tuna-wrap/
Summers Best Salad,91.0,255,4.0,4.45,7.1,1.5,6.9,0.7,0.07,0.23000000000000004,https://www.allrecipes.com/recipe/174342/summers-best-salad/
Double Decker Tacos,458.0,45,12.0,4.54,26.3,18.9,37.3,0.52,0.17,0.30999999999999994,https://www.allrecipes.com/recipe/174658/double-decker-tacos/
Ultimate Grilled Cheese Sandwich,595.0,15,4.0,4.39,38.2,29.2,33.8,0.58,0.2,0.22000000000000003,https://www.allrecipes.com/recipe/175550/ultimate-grilled-cheese-sandwich/
Turkey Bone Soup,1164.0,170,12.0,4.43,91.1,57.5,25.1,0.7,0.2,0.10000000000000003,https://www.allrecipes.com/recipe/176367/turkey-bone-soup/
Greek Pasta Salad,307.0,210,8.0,4.59,23.6,5.4,19.3,0.69,0.07,0.24000000000000005,https://www.allrecipes.com/recipe/176650/greek-pasta-salad/
Wheres The Tuna Salad,250.0,75,4.0,4.74,22.2,8.6,4.6,0.8,0.14,0.05999999999999994,https://www.allrecipes.com/recipe/176870/wheres-the-tuna-salad/
Feta Stuffed Hamburgers,386.0,20,4.0,4.46,27.2,31.0,2.8,0.63,0.32,0.04999999999999999,https://www.allrecipes.com/recipe/177115/feta-stuffed-hamburgers/
Campbellsr Slow Cooked Pulled Pork Sandwiches,344.0,505,12.0,4.58,16.1,17.9,31.2,0.42,0.21,0.3700000000000001,https://www.allrecipes.com/recipe/177700/campbellsr-slow-cooked-pulled-pork-sandwiches/
Cabbage And Smoked Sausage Pasta,845.0,35,6.0,4.42,51.2,30.9,68.5,0.55,0.15,0.29999999999999993,https://www.allrecipes.com/recipe/178430/cabbage-and-smoked-sausage-pasta/
Millys Tuna On A Shoestring,425.0,20,5.0,4.77,35.7,8.2,17.9,0.76,0.08,0.15999999999999998,https://www.allrecipes.com/recipe/178491/millys-tuna-on-a-shoestring/
Crescent Dogs,313.0,25,8.0,4.51,23.8,10.2,13.2,0.68,0.13,0.18999999999999995,https://www.allrecipes.com/recipe/178778/crescent-dogs/
Cucumber Sandwich,496.0,10,1.0,4.58,32.5,11.4,46.3,0.59,0.09,0.32000000000000006,https://www.allrecipes.com/recipe/18003/cucumber-sandwich/
Hearty Ranch And Bacon Potato Soup,552.0,70,8.0,4.53,27.8,21.1,55.7,0.45,0.15,0.4,https://www.allrecipes.com/recipe/180876/hearty-ranch-and-bacon-potato-soup/
Egg Pesto Breakfast Wrap,533.0,25,1.0,4.56,26.8,27.6,44.9,0.45,0.21,0.3400000000000001,https://www.allrecipes.com/recipe/182811/egg-pesto-breakfast-wrap/
Apple Walnut Salad,459.0,20,8.0,4.61,26.8,7.7,53.9,0.53,0.07,0.39999999999999997,https://www.allrecipes.com/recipe/183288/apple-walnut-salad/
Fruit Veggie And Tuna Salad Wrap,382.0,20,4.0,4.78,13.7,19.1,46.2,0.32,0.2,0.4799999999999999,https://www.allrecipes.com/recipe/187635/fruit-veggie-and-tuna-salad-wrap/
Mexican Bean And Rice Salad,124.0,80,10.0,4.36,1.0,4.7,26.0,0.07,0.15,0.7799999999999999,https://www.allrecipes.com/recipe/188444/mexican-bean-and-rice-salad/
