Topics,Alpha,Beta,Coherence
9,asymmetric,1,0.4256028691764294
9,asymmetric,symmetric,0.3895131772888859
10,0.01,0.01,0.39266292882079
10,0.01,0.1,0.4004987314797474
10,0.01,1,0.41002132448622997
10,0.01,symmetric,0.39743703469271496
10,0.1,0.01,0.38052100761020546
10,0.1,0.1,0.3840322037537889
10,0.1,1,0.43378251042327276
10,0.1,symmetric,0.38509325074089323
10,1,0.01,0.3371523935805249
10,1,0.1,0.35257292933010664
10,1,1,0.36947822801208413
10,1,symmetric,0.3464896765132824
10,symmetric,0.01,0.3839796942082617
10,symmetric,0.1,0.38693158933234184
10,symmetric,1,0.42857383633578605
10,symmetric,symmetric,0.38014402755323384
10,asymmetric,0.01,0.3976349413997594
10,asymmetric,0.1,0.38886075752957866
10,asymmetric,1,0.418335359566503
10,asymmetric,symmetric,0.38697201693651856
11,0.01,0.01,0.38255297907315544
11,0.01,0.1,0.3831283337004285
11,0.01,1,0.395739610620813
11,0.01,symmetric,0.4037030832070409
11,0.1,0.01,0.37636101211683415
11,0.1,0.1,0.38213728748041687
11,0.1,1,0.41169379163581116
11,0.1,symmetric,0.38966927186135386
11,1,0.01,0.34444707352740894
11,1,0.1,0.34758797374453443
11,1,1,0.36692095317780704
11,1,symmetric,0.36088407537774786
11,symmetric,0.01,0.37715804960781335
11,symmetric,0.1,0.37919140691035413
11,symmetric,1,0.40397981807289224
11,symmetric,symmetric,0.3855116609977676
11,asymmetric,0.01,0.3809073477188212
11,asymmetric,0.1,0.40053575718308837
11,asymmetric,1,0.4170372839726671
11,asymmetric,symmetric,0.3892462516085997
12,0.01,0.01,0.3826185243150533
12,0.01,0.1,0.36708243877166663
12,0.01,1,0.3987870554405384
12,0.01,symmetric,0.390379842582601
12,0.1,0.01,0.36963344831627104
12,0.1,0.1,0.3864213512813652
12,0.1,1,0.43534523188160845
12,0.1,symmetric,0.3800949297330402
12,1,0.01,0.3544308556898043
12,1,0.1,0.34994711584238725
12,1,1,0.3684398871636068
12,1,symmetric,0.3347406161595439
12,symmetric,0.01,0.36890239676610387
12,symmetric,0.1,0.3910403886236531
12,symmetric,1,0.42913807338630944
12,symmetric,symmetric,0.3768234192361776
12,asymmetric,0.01,0.36801130162121337
12,asymmetric,0.1,0.3933556212690916
12,asymmetric,1,0.4314204837177164
12,asymmetric,symmetric,0.3850375323374351
13,0.01,0.01,0.3786595233434569
13,0.01,0.1,0.3892802291704419
13,0.01,1,0.41577789693078837
13,0.01,symmetric,0.393038283395871
13,0.1,0.01,0.3848867379807827
13,0.1,0.1,0.4139705395464903
13,0.1,1,0.3889858937382735
13,0.1,symmetric,0.38942637222035886
13,1,0.01,0.35349409978031876
13,1,0.1,0.36340121540350806
13,1,1,0.3595258229085165
13,1,symmetric,0.34287545103884515
13,symmetric,0.01,0.38211775664155595
13,symmetric,0.1,0.3954298718685575
13,symmetric,1,0.3917506660687392
