title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Penne With Spicy Vodka Tomato Cream Sauce,435.0,13.3,52.7,18.4,0.12,0.5,0.38,8.0,4.66,25,https://www.allrecipes.com/recipe/11815/penne-with-spicy-vodka-tomato-cream-sauce/
Stuffed Shells I,557.0,37.0,59.6,18.2,0.27,0.43999999999999995,0.29,8.0,4.64,50,https://www.allrecipes.com/recipe/11836/stuffed-shells-i/
Penne And Vodka Sauce,795.0,23.9,87.9,35.2,0.12,0.48,0.4,4.0,4.62,25,https://www.allrecipes.com/recipe/11892/penne-and-vodka-sauce/
Spinach Lasagna Ii,346.0,24.7,32.7,13.8,0.29,0.3500000000000001,0.36,8.0,4.55,0,https://www.allrecipes.com/recipe/11900/spinach-lasagna-ii/
Veggie Lasagna Florentine,375.0,25.1,47.3,11.2,0.27,0.45999999999999996,0.27,12.0,4.55,105,https://www.allrecipes.com/recipe/11964/veggie-lasagna-florentine/
Easy Lasagna Ii,377.0,29.4,26.4,16.7,0.31,0.29000000000000004,0.4,12.0,4.62,85,https://www.allrecipes.com/recipe/12011/easy-lasagna-ii/
Three Cheese Baked Pasta,463.0,22.7,42.3,22.2,0.2,0.37,0.43,12.0,4.62,80,https://www.allrecipes.com/recipe/12073/three-cheese-baked-pasta/
Ham And Cheese Quiche,283.0,11.3,14.3,20.1,0.16,0.19999999999999996,0.64,8.0,4.69,70,https://www.allrecipes.com/recipe/12221/ham-and-cheese-quiche/
Meat Pie Tourtiere,485.0,17.9,30.5,32.0,0.15,0.26,0.59,8.0,4.58,0,https://www.allrecipes.com/recipe/12343/meat-pie-tourtiere/
Cornish Finnish Michigan Pasties,882.0,29.8,75.9,50.1,0.14,0.35,0.51,8.0,4.5,0,https://www.allrecipes.com/recipe/12432/cornish-finnish-michigan-pasties/
