title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Easy Slow Cooker French Dip,413.0,39.1,19.6,18.1,0.38,0.22999999999999998,0.39,9.0,4.51,430,https://www.allrecipes.com/recipe/16239/easy-slow-cooker-french-dip/
Glazed Meatloaf I,589.0,27.9,25.2,41.7,0.19,0.16999999999999993,0.64,6.0,4.63,80,https://www.allrecipes.com/recipe/16293/glazed-meatloaf-i/
Bourbon Mango Pulled Pork,319.0,23.7,34.5,8.0,0.3,0.47,0.23,10.0,4.68,380,https://www.allrecipes.com/recipe/163001/bourbon-mango-pulled-pork/
Maries Easy Slow Cooker Pot Roast,540.0,45.7,18.2,30.6,0.34,0.1499999999999999,0.51,8.0,4.59,580,https://www.allrecipes.com/recipe/16346/maries-easy-slow-cooker-pot-roast/
Baked Pork Chops I,457.0,29.9,36.0,19.9,0.26,0.35,0.39,6.0,4.55,120,https://www.allrecipes.com/recipe/16348/baked-pork-chops-i/
Easy Meatloaf,372.0,18.2,18.5,24.7,0.2,0.19999999999999996,0.6,8.0,4.58,70,https://www.allrecipes.com/recipe/16354/easy-meatloaf/
Fried Corn With Smoked Sausage,422.0,19.9,23.2,28.5,0.19,0.19999999999999996,0.61,6.0,4.53,30,https://www.allrecipes.com/recipe/163913/fried-corn-with-smoked-sausage/
Portobello Sandwiches,445.0,7.8,31.4,33.4,0.07,0.25,0.68,4.0,4.62,20,https://www.allrecipes.com/recipe/16408/portobello-sandwiches/
Sausage And Bow Tie Pasta Florentine,625.0,23.4,47.8,39.2,0.15,0.2899999999999999,0.56,6.0,4.56,30,https://www.allrecipes.com/recipe/164208/sausage-and-bow-tie-pasta-florentine/
Slow Cooker Italian Beef For Sandwiches,318.0,39.4,1.6,15.8,0.5,0.050000000000000044,0.45,10.0,4.63,735,https://www.allrecipes.com/recipe/16427/slow-cooker-italian-beef-for-sandwiches/
Southern Grilled Barbecued Ribs,519.0,25.0,24.5,35.5,0.19,0.18999999999999995,0.62,8.0,4.77,110,https://www.allrecipes.com/recipe/16429/southern-grilled-barbecued-ribs/
Soft Mahi Mahi Tacos With Ginger Lime Dressing,324.0,20.1,33.0,13.2,0.25,0.38,0.37,6.0,4.51,60,https://www.allrecipes.com/recipe/164313/soft-mahi-mahi-tacos-with-ginger-lime-dressing/
Simple Bbq Ribs,441.0,33.3,24.5,22.2,0.3,0.25,0.45,4.0,4.78,120,https://www.allrecipes.com/recipe/16448/simple-bbq-ribs/
Spicy Vegan Potato Curry,407.0,10.1,50.6,20.1,0.1,0.45999999999999996,0.44,6.0,4.51,60,https://www.allrecipes.com/recipe/165190/spicy-vegan-potato-curry/
Black Beans And Pork Chops,392.0,33.8,21.8,18.7,0.34,0.22999999999999998,0.43,4.0,4.66,30,https://www.allrecipes.com/recipe/165527/black-beans-and-pork-chops/
Farmers Market Vegetarian Quesadillas,209.0,10.2,36.8,7.1,0.2,0.49,0.31,6.0,4.68,30,https://www.allrecipes.com/recipe/165783/farmers-market-vegetarian-quesadillas/
Pepper Honey Cedar Plank Salmon,484.0,37.0,47.3,16.7,0.31,0.38,0.31,6.0,4.75,105,https://www.allrecipes.com/recipe/165827/pepper-honey-cedar-plank-salmon/
Pot Roast In Foil,389.0,35.1,3.1,25.1,0.36,0.06000000000000005,0.58,8.0,4.65,250,https://www.allrecipes.com/recipe/16593/pot-roast-in-foil/
Juicy Thanksgiving Turkey,556.0,69.3,4.3,24.0,0.5,0.10999999999999999,0.39,20.0,4.84,200,https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/
Red Lentil Curry,192.0,12.1,32.5,2.6,0.25,0.63,0.12,8.0,4.5,40,https://www.allrecipes.com/recipe/16641/red-lentil-curry/
Happy Shrimp,280.0,19.5,3.1,19.9,0.28,0.07999999999999996,0.64,4.0,4.71,40,https://www.allrecipes.com/recipe/166558/happy-shrimp/
Spicy Chipotle Turkey Burgers,376.0,33.3,25.8,15.3,0.35,0.28,0.37,4.0,4.67,35,https://www.allrecipes.com/recipe/166583/spicy-chipotle-turkey-burgers/
Tomato Basil Salmon,405.0,36.2,4.0,26.6,0.36,0.050000000000000044,0.59,2.0,4.57,30,https://www.allrecipes.com/recipe/166624/tomato-basil-salmon/
Grilled Tilapia With Mango Salsa,634.0,36.3,33.4,40.2,0.23,0.20000000000000007,0.57,2.0,4.74,115,https://www.allrecipes.com/recipe/166771/grilled-tilapia-with-mango-salsa/
Garlicky Appetizer Shrimp Scampi,302.0,25.0,0.9,21.8,0.33,0.020000000000000018,0.65,6.0,4.65,21,https://www.allrecipes.com/recipe/16679/garlicky-appetizer-shrimp-scampi/
Firecracker Grilled Alaska Salmon,307.0,23.3,4.6,21.5,0.3,0.07000000000000006,0.63,8.0,4.72,400,https://www.allrecipes.com/recipe/16699/firecracker-grilled-alaska-salmon/
Ultimate Shrimp Scampi,792.0,36.1,72.6,41.3,0.18,0.3500000000000001,0.47,4.0,4.61,40,https://www.allrecipes.com/recipe/167170/ultimate-shrimp-scampi/
Spoiled Baby Back Ribs,894.0,49.5,36.9,60.4,0.22,0.17000000000000004,0.61,3.0,4.75,85,https://www.allrecipes.com/recipe/167373/spoiled-baby-back-ribs/
Vegetable Pizza I,467.0,8.8,20.7,38.8,0.08,0.17000000000000004,0.75,12.0,4.6,60,https://www.allrecipes.com/recipe/16756/vegetable-pizza-i/
Veggie Pot Pie,469.0,8.4,54.4,25.0,0.07,0.44999999999999996,0.48,6.0,4.55,90,https://www.allrecipes.com/recipe/16765/veggie-pot-pie/
Grilled Stuffed Portobello Mushrooms,156.0,3.1,7.3,13.8,0.08,0.12,0.8,4.0,4.68,35,https://www.allrecipes.com/recipe/16789/grilled-stuffed-portobello-mushrooms/
Burrito Pie,432.0,19.8,33.3,23.9,0.18,0.32000000000000006,0.5,16.0,4.56,60,https://www.allrecipes.com/recipe/16881/burrito-pie/
Beef Wellington,744.0,26.2,29.6,57.2,0.14,0.17000000000000004,0.69,8.0,4.54,60,https://www.allrecipes.com/recipe/16899/beef-wellington/
Ronaldos Beef Carnitas,218.0,20.8,1.4,13.8,0.38,0.050000000000000044,0.57,12.0,4.55,250,https://www.allrecipes.com/recipe/16901/ronaldos-beef-carnitas/
Texas Pork Ribs,614.0,33.4,53.1,30.9,0.22,0.32999999999999996,0.45,12.0,4.67,810,https://www.allrecipes.com/recipe/16913/texas-pork-ribs/
Pork Medallions With Balsamic Vinegar And Capers,249.0,27.4,6.4,11.9,0.44,0.13,0.43,6.0,4.53,25,https://www.allrecipes.com/recipe/169749/pork-medallions-with-balsamic-vinegar-and-capers/
Turkey In A Smoker,625.0,71.2,9.8,31.7,0.46,0.07999999999999996,0.46,13.0,4.79,620,https://www.allrecipes.com/recipe/16984/turkey-in-a-smoker/
Charleys Slow Cooker Mexican Style Meat,260.0,18.4,3.3,19.1,0.28,0.05999999999999994,0.66,12.0,4.6,530,https://www.allrecipes.com/recipe/16995/charleys-slow-cooker-mexican-style-meat/
Lasagna Stuffed Shells,734.0,63.1,41.7,35.0,0.34,0.22999999999999998,0.43,6.0,4.56,45,https://www.allrecipes.com/recipe/170463/lasagna-stuffed-shells/
Baked Ziti Iii,761.0,36.2,74.9,34.4,0.19,0.4,0.41,8.0,4.71,50,https://www.allrecipes.com/recipe/17098/baked-ziti-iii/
Kosher Salt Encrusted Prime Rib Roast,391.0,36.1,1.2,25.8,0.37,0.040000000000000036,0.59,6.0,4.72,280,https://www.allrecipes.com/recipe/17143/kosher-salt-encrusted-prime-rib-roast/
Three Cheese Manicotti,439.0,25.1,38.3,20.8,0.23,0.33999999999999997,0.43,7.0,4.54,65,https://www.allrecipes.com/recipe/17148/three-cheese-manicotti/
Sauce Rosee,344.0,5.2,18.3,27.0,0.06,0.22999999999999998,0.71,6.0,4.55,45,https://www.allrecipes.com/recipe/17166/sauce-rosee/
Chinese Pepper Steak,312.0,26.1,17.0,15.4,0.33,0.22999999999999998,0.44,4.0,4.59,30,https://www.allrecipes.com/recipe/172704/chinese-pepper-steak/
No Noodle Zucchini Lasagna,494.0,41.3,23.2,27.3,0.33,0.16999999999999993,0.5,8.0,4.61,90,https://www.allrecipes.com/recipe/172958/no-noodle-zucchini-lasagna/
Mushroom Risotto,439.0,16.9,48.7,19.5,0.15,0.44999999999999996,0.4,4.0,4.54,45,https://www.allrecipes.com/recipe/17323/mushroom-risotto/
Campbellsr Slow Cooker Savory Pot Roast,656.0,50.0,36.6,33.3,0.3,0.24,0.46,6.0,4.55,490,https://www.allrecipes.com/recipe/177849/campbellsr-slow-cooker-savory-pot-roast/
Slider Style Mini Burgers ,232.0,12.0,16.1,13.2,0.21,0.28,0.51,24.0,4.58,50,https://www.allrecipes.com/recipe/178295/slider-style-mini-burgers-/
Glazed Corned Beef,463.0,23.8,38.1,24.3,0.21,0.32000000000000006,0.47,7.0,4.66,195,https://www.allrecipes.com/recipe/17855/glazed-corned-beef/
Stuffed Green Peppers I,463.0,27.2,35.5,24.3,0.23,0.30000000000000004,0.47,6.0,4.52,60,https://www.allrecipes.com/recipe/17991/stuffed-green-peppers-i/
Pork Apple Burgers,532.0,23.2,40.6,30.2,0.17,0.31999999999999995,0.51,8.0,4.58,30,https://www.allrecipes.com/recipe/18008/pork-apple-burgers/
Sweet And Sour Meatloaf,547.0,24.3,38.2,32.9,0.18,0.28,0.54,6.0,4.56,70,https://www.allrecipes.com/recipe/18035/sweet-and-sour-meatloaf/
Tantalizingly Tangy Meatloaf,274.0,11.3,21.1,16.1,0.16,0.30999999999999994,0.53,8.0,4.58,45,https://www.allrecipes.com/recipe/18069/tantalizingly-tangy-meatloaf/
Traditional Style Vegan Shepherds Pie,552.0,20.2,64.5,24.4,0.15,0.44999999999999996,0.4,6.0,4.7,75,https://www.allrecipes.com/recipe/180735/traditional-style-vegan-shepherds-pie/
Marinated Flank Steak,275.0,14.8,3.4,22.5,0.22,0.040000000000000036,0.74,6.0,4.63,385,https://www.allrecipes.com/recipe/18074/marinated-flank-steak/
Salmon With Brown Sugar Glaze,330.0,29.0,15.0,16.2,0.35,0.20999999999999996,0.44,4.0,4.6,15,https://www.allrecipes.com/recipe/180764/salmon-with-brown-sugar-glaze/
Macaroni And Cheese With Caramelized Onions And Bacon,942.0,45.6,56.6,59.5,0.19,0.24,0.57,8.0,4.52,80,https://www.allrecipes.com/recipe/180905/macaroni-and-cheese-with-caramelized-onions-and-bacon/
The Best Clam Sauce,906.0,60.6,73.8,39.2,0.27,0.33999999999999997,0.39,4.0,4.54,45,https://www.allrecipes.com/recipe/18148/the-best-clam-sauce/
Shrimp And Asparagus,653.0,24.7,45.4,42.2,0.15,0.27,0.58,8.0,4.51,50,https://www.allrecipes.com/recipe/18149/shrimp-and-asparagus/
Fried Rice I,516.0,17.3,63.5,20.7,0.13,0.51,0.36,4.0,4.55,40,https://www.allrecipes.com/recipe/18286/fried-rice-i/
Blackened Tuna,243.0,26.7,1.1,14.0,0.44,0.040000000000000036,0.52,6.0,4.6,20,https://www.allrecipes.com/recipe/18377/blackened-tuna/
Spanakopita Greek Spinach Pie,494.0,18.2,31.5,34.7,0.15,0.21999999999999997,0.63,5.0,4.51,90,https://www.allrecipes.com/recipe/18417/spanakopita-greek-spinach-pie/
Quick Savory Cranberry Glazed Pork Loin Roast,419.0,29.6,38.8,15.9,0.28,0.3799999999999999,0.34,10.0,4.54,70,https://www.allrecipes.com/recipe/184255/quick-savory-cranberry-glazed-pork-loin-roast/
Baked Pasta With Sausage And Baby Portobello Mushroom White Sauce,440.0,17.0,31.6,27.4,0.15,0.2899999999999999,0.56,12.0,4.65,35,https://www.allrecipes.com/recipe/184361/baked-pasta-with-sausage-and-baby-portobello-mushroom-white-sauce/
Bobs Awesome Lasagna,335.0,24.0,26.2,14.6,0.29,0.32000000000000006,0.39,12.0,4.63,90,https://www.allrecipes.com/recipe/18442/bobs-awesome-lasagna/
Quiche Lorraine Ii,359.0,13.6,17.0,26.3,0.15,0.18999999999999995,0.66,8.0,4.65,65,https://www.allrecipes.com/recipe/18477/quiche-lorraine-ii/
Homemade Wonton Soup,363.0,22.9,40.5,12.1,0.25,0.44999999999999996,0.3,8.0,4.72,40,https://www.allrecipes.com/recipe/185519/homemade-wonton-soup/
Exchange Gang Pasta With Shrimp,512.0,31.1,52.8,18.5,0.24,0.42999999999999994,0.33,4.0,4.62,35,https://www.allrecipes.com/recipe/187351/exchange-gang-pasta-with-shrimp/
Little Meat Loaves,678.0,34.3,48.8,38.3,0.2,0.29000000000000004,0.51,6.0,4.68,90,https://www.allrecipes.com/recipe/18798/little-meat-loaves/
Old Fashioned Mac And Cheese,401.0,18.5,29.1,23.3,0.18,0.30000000000000004,0.52,7.0,4.59,65,https://www.allrecipes.com/recipe/18805/old-fashioned-mac-and-cheese/
Sweet Polish Sausage,837.0,28.2,40.9,62.0,0.13,0.19999999999999996,0.67,4.0,4.55,120,https://www.allrecipes.com/recipe/18837/sweet-polish-sausage/
Roast Leg Of Lamb With Rosemary,553.0,40.7,8.1,38.7,0.29,0.08000000000000007,0.63,10.0,4.59,61,https://www.allrecipes.com/recipe/18870/roast-leg-of-lamb-with-rosemary/
Bread Machine Calzone,288.0,15.9,12.3,19.3,0.22,0.18000000000000005,0.6,4.0,4.67,80,https://www.allrecipes.com/recipe/18878/bread-machine-calzone/
Cheesy Sausage Pasta,514.0,20.0,48.0,27.7,0.16,0.35,0.49,8.0,4.55,35,https://www.allrecipes.com/recipe/188824/cheesy-sausage-pasta/
Super Simple Salmon,304.0,36.6,3.3,15.7,0.48,0.06000000000000005,0.46,4.0,4.71,15,https://www.allrecipes.com/recipe/189058/super-simple-salmon/
Balsamic Baked Tilapia,329.0,32.3,10.7,17.3,0.39,0.14,0.47,4.0,4.63,40,https://www.allrecipes.com/recipe/189966/balsamic-baked-tilapia/
Country Fried Steak,468.0,22.7,50.9,18.6,0.19,0.44999999999999996,0.36,4.0,4.51,25,https://www.allrecipes.com/recipe/191793/country-fried-steak/
Sausage Pasta,423.0,22.3,39.0,19.3,0.21,0.38,0.41,6.0,4.54,45,https://www.allrecipes.com/recipe/19291/sausage-pasta/
Simple Carnitas,188.0,18.4,6.6,9.6,0.39,0.1499999999999999,0.46,10.0,4.61,180,https://www.allrecipes.com/recipe/193219/simple-carnitas/
Tomato Vodka Sauce,764.0,19.2,93.5,31.7,0.1,0.53,0.37,4.0,4.55,0,https://www.allrecipes.com/recipe/19330/tomato-vodka-sauce/
Homemade Lasagna,638.0,45.7,54.1,27.2,0.29,0.33000000000000007,0.38,8.0,4.52,105,https://www.allrecipes.com/recipe/19344/homemade-lasagna/
Grilled Marinated Shrimp,447.0,25.3,3.7,37.5,0.23,0.010000000000000009,0.76,6.0,4.82,160,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/
Honey Grilled Shrimp,434.0,29.9,33.4,20.2,0.28,0.30000000000000004,0.42,3.0,4.64,96,https://www.allrecipes.com/recipe/19485/honey-grilled-shrimp/
Island Style Fried Rice,511.0,17.1,48.0,28.1,0.13,0.38,0.49,6.0,4.7,60,https://www.allrecipes.com/recipe/195042/island-style-fried-rice/
Sukis Spinach And Feta Pasta,451.0,17.8,51.8,20.6,0.16,0.43000000000000005,0.41,4.0,4.55,40,https://www.allrecipes.com/recipe/19591/sukis-spinach-and-feta-pasta/
Barbequed Ribs,588.0,44.2,18.9,37.5,0.3,0.13000000000000012,0.57,8.0,4.73,690,https://www.allrecipes.com/recipe/19856/barbequed-ribs/
Crab Stuffed Flounder,308.0,26.5,2.2,21.2,0.34,0.040000000000000036,0.62,6.0,4.51,31,https://www.allrecipes.com/recipe/19914/crab-stuffed-flounder/
Penne A La Vodka Ii,632.0,12.9,62.9,35.8,0.08,0.41000000000000003,0.51,6.0,4.53,45,https://www.allrecipes.com/recipe/19919/penne-a-la-vodka-ii/
Dads Cheesy Bacon Wrapped Meat Loaf,589.0,43.5,17.3,37.5,0.3,0.13000000000000012,0.57,6.0,4.61,90,https://www.allrecipes.com/recipe/199688/dads-cheesy-bacon-wrapped-meat-loaf/
Swordfish A La Siciliana,389.0,32.9,13.3,23.1,0.34,0.1299999999999999,0.53,6.0,4.74,55,https://www.allrecipes.com/recipe/20019/swordfish-a-la-siciliana/
Slow Cooker Italian Beef,113.0,16.5,5.2,2.8,0.58,0.20000000000000007,0.22,6.0,4.51,65,https://www.allrecipes.com/recipe/20031/slow-cooker-italian-beef/
Grilled Filet Mignon With Gorgonzola Cream Sauce,1456.0,54.9,9.0,133.6,0.15,0.020000000000000018,0.83,4.0,4.8,75,https://www.allrecipes.com/recipe/200340/grilled-filet-mignon-with-gorgonzola-cream-sauce/
Artichoke Spinach Lasagna,396.0,21.1,44.5,16.0,0.21,0.43000000000000005,0.36,8.0,4.64,80,https://www.allrecipes.com/recipe/20082/artichoke-spinach-lasagna/
Fish Roll Ups,323.0,34.7,4.7,17.7,0.43,0.08000000000000007,0.49,12.0,4.55,40,https://www.allrecipes.com/recipe/20114/fish-roll-ups/
Mongolian Beef And Spring Onions,391.0,18.0,54.7,12.1,0.18,0.54,0.28,4.0,4.6,30,https://www.allrecipes.com/recipe/201849/mongolian-beef-and-spring-onions/
Garlic Salmon,169.0,24.5,2.1,6.7,0.58,0.06000000000000005,0.36,6.0,4.51,40,https://www.allrecipes.com/recipe/20193/garlic-salmon/
Barbequed Pork Ribs,544.0,29.6,17.6,39.5,0.22,0.13,0.65,10.0,4.65,220,https://www.allrecipes.com/recipe/20393/barbequed-pork-ribs/
Roasted Butternut Squash And Garlic Lasagna,339.0,10.4,33.5,19.3,0.12,0.37,0.51,12.0,4.52,145,https://www.allrecipes.com/recipe/204052/roasted-butternut-squash-and-garlic-lasagna/
Grilled Spicy Lamb Burgers,478.0,29.4,38.0,22.4,0.25,0.33000000000000007,0.42,4.0,4.69,25,https://www.allrecipes.com/recipe/20425/grilled-spicy-lamb-burgers/
Cottage Meatloaf,325.0,18.7,18.2,19.5,0.23,0.22999999999999998,0.54,8.0,4.62,65,https://www.allrecipes.com/recipe/20621/cottage-meatloaf/
Glazed Meatloaf Ii,318.0,22.4,18.9,16.8,0.28,0.24,0.48,8.0,4.6,80,https://www.allrecipes.com/recipe/20673/glazed-meatloaf-ii/
Rempel Family Meatloaf,360.0,26.8,9.5,23.5,0.3,0.1100000000000001,0.59,6.0,4.55,55,https://www.allrecipes.com/recipe/20675/rempel-family-meatloaf/
Bacon Wrapped Pork Medallions,417.0,42.3,2.4,25.5,0.41,0.040000000000000036,0.55,4.0,4.64,40,https://www.allrecipes.com/recipe/209691/bacon-wrapped-pork-medallions/
Vegetarian Four Cheese Lasagna,451.0,28.8,20.4,29.5,0.26,0.15000000000000002,0.59,8.0,4.6,75,https://www.allrecipes.com/recipe/21090/vegetarian-four-cheese-lasagna/
Apple Glazed Pork Tenderloin,434.0,22.5,65.1,6.4,0.21,0.66,0.13,4.0,4.61,55,https://www.allrecipes.com/recipe/211179/apple-glazed-pork-tenderloin/
Bbq Pork For Sandwiches,355.0,30.2,15.2,18.1,0.34,0.19999999999999996,0.46,12.0,4.78,285,https://www.allrecipes.com/recipe/21174/bbq-pork-for-sandwiches/
Baked Dijon Salmon,422.0,24.3,17.6,29.0,0.23,0.15000000000000002,0.62,4.0,4.57,35,https://www.allrecipes.com/recipe/21176/baked-dijon-salmon/
Bacon Risotto,557.0,15.9,73.8,21.5,0.11,0.54,0.35,4.0,4.65,45,https://www.allrecipes.com/recipe/211847/bacon-risotto/
Stuffed Peppers My Way,385.0,10.8,52.6,15.2,0.11,0.53,0.36,2.0,4.61,60,https://www.allrecipes.com/recipe/21190/stuffed-peppers-my-way/
Japanese Beef Stir Fry,290.0,26.4,26.4,7.6,0.36,0.4,0.24,8.0,4.58,45,https://www.allrecipes.com/recipe/212636/japanese-beef-stir-fry/
Jewish Style Sweet And Sour Brisket,401.0,19.3,24.4,25.1,0.19,0.25,0.56,10.0,4.74,660,https://www.allrecipes.com/recipe/212741/jewish-style-sweet-and-sour-brisket/
Turkey And Quinoa Meatloaf,259.0,25.3,15.2,11.0,0.39,0.22999999999999998,0.38,5.0,4.64,80,https://www.allrecipes.com/recipe/213211/turkey-and-quinoa-meatloaf/
Indian Fish Curry,338.0,41.6,11.6,13.5,0.49,0.15000000000000002,0.36,4.0,4.57,85,https://www.allrecipes.com/recipe/213238/indian-fish-curry/
Sweet And Savory Slow Cooker Pulled Pork,485.0,28.5,45.5,19.1,0.24,0.41000000000000003,0.35,10.0,4.62,905,https://www.allrecipes.com/recipe/213262/sweet-and-savory-slow-cooker-pulled-pork/
Lobster Tails Steamed In Beer,209.0,36.1,4.1,1.7,0.69,0.24,0.07,2.0,4.63,13,https://www.allrecipes.com/recipe/21333/lobster-tails-steamed-in-beer/
Lindas Lasagna,494.0,38.2,38.2,21.8,0.31,0.29000000000000004,0.4,8.0,4.73,150,https://www.allrecipes.com/recipe/21340/lindas-lasagna/
Rocks T Bone Steaks,929.0,123.0,2.5,43.9,0.53,0.040000000000000036,0.43,4.0,4.71,15,https://www.allrecipes.com/recipe/213461/rocks-t-bone-steaks/
Grilled Salmon With Habanero Lime Butter,480.0,25.0,5.4,38.9,0.21,0.06000000000000005,0.73,4.0,4.59,161,https://www.allrecipes.com/recipe/21352/grilled-salmon-with-habanero-lime-butter/
Meatball Nirvana,343.0,31.0,15.3,16.8,0.36,0.19999999999999996,0.44,4.0,4.63,40,https://www.allrecipes.com/recipe/213742/meatball-nirvana/
Juicy Lucy Burgers,593.0,38.1,23.4,37.5,0.26,0.17000000000000004,0.57,4.0,4.58,25,https://www.allrecipes.com/recipe/213797/juicy-lucy-burgers/
Ham And Beans And More,459.0,25.5,39.9,22.3,0.22,0.33999999999999997,0.44,8.0,4.63,870,https://www.allrecipes.com/recipe/214048/ham-and-beans-and-more/
Shrimp Francesca,391.0,23.6,18.2,25.2,0.24,0.18000000000000005,0.58,4.0,4.54,35,https://www.allrecipes.com/recipe/214071/shrimp-francesca/
Real Chiles Rellenos,424.0,21.3,34.3,23.1,0.2,0.31000000000000005,0.49,4.0,4.71,140,https://www.allrecipes.com/recipe/214088/real-chiles-rellenos/
Garlic Alfredo Tilapia,435.0,26.3,4.4,35.0,0.24,0.040000000000000036,0.72,4.0,4.63,25,https://www.allrecipes.com/recipe/214164/garlic-alfredo-tilapia/
Shrimp Po Boys,1257.0,73.2,127.3,50.0,0.23,0.41000000000000003,0.36,4.0,4.83,0,https://www.allrecipes.com/recipe/214176/shrimp-po-boys/
Tangy Grilled Pork Tenderloin,267.0,23.4,35.3,3.6,0.35,0.53,0.12,6.0,4.53,280,https://www.allrecipes.com/recipe/21430/tangy-grilled-pork-tenderloin/
Cindys Jambalaya,284.0,18.4,24.6,11.5,0.26,0.38,0.36,8.0,4.76,70,https://www.allrecipes.com/recipe/214381/cindys-jambalaya/
Smokey Chipotle Meatloaf,306.0,25.8,12.7,16.2,0.34,0.17999999999999994,0.48,8.0,4.61,75,https://www.allrecipes.com/recipe/214399/smokey-chipotle-meatloaf/
Three Packet Slow Cooker Roast,610.0,39.1,6.1,46.0,0.26,0.05999999999999994,0.68,6.0,4.66,370,https://www.allrecipes.com/recipe/214413/three-packet-slow-cooker-roast/
Sausage Peppers Onions And Potato Bake,539.0,20.2,45.8,29.8,0.15,0.35,0.5,8.0,4.63,65,https://www.allrecipes.com/recipe/214500/sausage-peppers-onions-and-potato-bake/
Mahi Mahi With Coconut Rice And Mango Salsa,808.0,30.9,107.0,28.9,0.15,0.53,0.32,4.0,4.74,120,https://www.allrecipes.com/recipe/214541/mahi-mahi-with-coconut-rice-and-mango-salsa/
Grilled Rosemary Pork Chops,273.0,29.0,25.9,5.8,0.42,0.39,0.19,4.0,4.54,200,https://www.allrecipes.com/recipe/214544/grilled-rosemary-pork-chops/
Spicy Eggplant,212.0,5.0,29.9,10.3,0.09,0.47,0.44,6.0,4.57,35,https://www.allrecipes.com/recipe/215026/spicy-eggplant/
Barbeque Pork Two Ways,279.0,15.8,24.7,13.6,0.23,0.32999999999999996,0.44,8.0,4.61,495,https://www.allrecipes.com/recipe/21509/barbeque-pork-two-ways/
Pesto Pizza,394.0,17.3,39.3,19.9,0.18,0.37,0.45,6.0,4.65,20,https://www.allrecipes.com/recipe/21528/pesto-pizza/
Stuffed Shells Iii,550.0,37.7,43.7,24.5,0.27,0.32999999999999996,0.4,10.0,4.53,90,https://www.allrecipes.com/recipe/21532/stuffed-shells-iii/
Dads Leftover Turkey Pot Pie,539.0,20.4,39.5,33.2,0.15,0.29999999999999993,0.55,12.0,4.92,90,https://www.allrecipes.com/recipe/215447/dads-leftover-turkey-pot-pie/
Salmon With Dill,262.0,22.8,0.7,18.1,0.35,0.030000000000000027,0.62,4.0,4.6,30,https://www.allrecipes.com/recipe/21555/salmon-with-dill/
Sea Bass Cuban Style,444.0,34.2,17.4,19.4,0.31,0.30000000000000004,0.39,4.0,4.61,45,https://www.allrecipes.com/recipe/21579/sea-bass-cuban-style/
Spicy Salmon With Caramelized Onions,496.0,29.5,11.3,36.6,0.24,0.09999999999999998,0.66,2.0,4.68,50,https://www.allrecipes.com/recipe/215830/spicy-salmon-with-caramelized-onions/
Sausage And Sauerkraut,777.0,24.6,28.6,62.3,0.13,0.15000000000000002,0.72,5.0,4.69,215,https://www.allrecipes.com/recipe/216081/sausage-and-sauerkraut/
Bats And Cobwebs,522.0,30.4,47.4,23.1,0.23,0.37,0.4,6.0,4.62,40,https://www.allrecipes.com/recipe/216231/bats-and-cobwebs/
Easy Pleasy Mac N Cheesy   Us Navy Style,447.0,18.0,43.2,22.4,0.16,0.39,0.45,6.0,4.6,65,https://www.allrecipes.com/recipe/216355/easy-pleasy-mac-n-cheesy---us-navy-style/
Swedish Meatballs Svenska Kottbullar,309.0,16.9,11.9,21.3,0.22,0.16000000000000003,0.62,6.0,4.65,85,https://www.allrecipes.com/recipe/216564/swedish-meatballs-svenska-kottbullar/
Stuffed Mexican Peppers,322.0,21.2,17.3,18.5,0.26,0.21999999999999997,0.52,6.0,4.63,75,https://www.allrecipes.com/recipe/216899/stuffed-mexican-peppers/
Apple And Brown Sugar Corned Beef,672.0,30.5,87.2,23.5,0.18,0.51,0.31,10.0,4.51,255,https://www.allrecipes.com/recipe/216933/apple-and-brown-sugar-corned-beef/
Marinated Grilled Shrimp,273.0,31.0,2.8,14.7,0.45,0.07000000000000006,0.48,6.0,4.76,55,https://www.allrecipes.com/recipe/21694/marinated-grilled-shrimp/
Classic Fried Rice,213.0,8.8,31.8,5.1,0.17,0.61,0.22,6.0,4.63,0,https://www.allrecipes.com/recipe/216965/classic-fried-rice/
Tender Pork Spare Ribs,943.0,58.4,37.4,60.6,0.25,0.17000000000000004,0.58,8.0,4.64,980,https://www.allrecipes.com/recipe/216985/tender-pork-spare-ribs/
Beths Meat Loaf,388.0,28.9,22.2,20.0,0.3,0.24,0.46,5.0,4.6,80,https://www.allrecipes.com/recipe/217080/beths-meat-loaf/
Blue Cheese Spinach Meat Loaf Muffins,351.0,29.4,9.9,20.9,0.34,0.11999999999999988,0.54,6.0,4.62,45,https://www.allrecipes.com/recipe/217151/blue-cheese-spinach-meat-loaf-muffins/
Jalapeno Popper Grilled Cheese Sandwich,528.0,16.5,40.9,34.0,0.12,0.30000000000000004,0.58,2.0,4.64,20,https://www.allrecipes.com/recipe/217267/jalapeno-popper-grilled-cheese-sandwich/
Pan Seared Salmon I,371.0,33.7,1.7,25.1,0.36,0.030000000000000027,0.61,4.0,4.54,20,https://www.allrecipes.com/recipe/21736/pan-seared-salmon-i/
Pigs In A Blanket,458.0,17.1,24.8,31.8,0.15,0.22999999999999998,0.62,6.0,4.57,30,https://www.allrecipes.com/recipe/21780/pigs-in-a-blanket/
